2023-10-19-21-02: epoch: 1 |tot 1.338060 | hm 0.507666 | wh 1.042829 | reg 0.212597 | ltrb_amodal 0.772218 | tracking 0.436293 | time 6.766667 | 
2023-10-19-21-08: epoch: 2 |tot 1.209048 | hm 0.429642 | wh 0.844329 | reg 0.207715 | ltrb_amodal 0.653041 | tracking 0.421954 | time 6.633333 | 
2023-10-19-21-15: epoch: 3 |tot 1.164172 | hm 0.402837 | wh 0.792998 | reg 0.205165 | ltrb_amodal 0.615003 | tracking 0.415371 | time 6.650000 | 
2023-10-19-21-22: epoch: 4 |tot 1.136126 | hm 0.387063 | wh 0.756627 | reg 0.203561 | ltrb_amodal 0.589122 | tracking 0.410927 | time 6.666667 | 
2023-10-19-21-28: epoch: 5 |tot 1.123538 | hm 0.376054 | wh 0.748079 | reg 0.202666 | ltrb_amodal 0.583999 | tracking 0.411610 | time 6.650000 | 
2023-10-19-21-35: epoch: 6 |tot 1.106097 | hm 0.367215 | wh 0.727311 | reg 0.201412 | ltrb_amodal 0.567923 | tracking 0.407946 | time 6.633333 | 
2023-10-19-21-42: epoch: 7 |tot 1.094218 | hm 0.358013 | wh 0.717851 | reg 0.200969 | ltrb_amodal 0.562651 | tracking 0.407185 | time 6.650000 | 
2023-10-19-21-48: epoch: 8 |tot 1.084763 | hm 0.351903 | wh 0.713433 | reg 0.199760 | ltrb_amodal 0.557720 | tracking 0.405984 | time 6.650000 | 
2023-10-19-21-55: epoch: 9 |tot 1.073859 | hm 0.345044 | wh 0.703537 | reg 0.199313 | ltrb_amodal 0.547570 | tracking 0.404391 | time 6.650000 | 
2023-10-19-22-02: epoch: 10 |tot 1.066039 | hm 0.339957 | wh 0.692523 | reg 0.198706 | ltrb_amodal 0.541546 | tracking 0.403970 | time 6.633333 | 
2023-10-19-22-08: epoch: 11 |tot 1.052111 | hm 0.333505 | wh 0.679235 | reg 0.197183 | ltrb_amodal 0.531107 | tracking 0.400389 | time 6.650000 | 
2023-10-19-22-15: epoch: 12 |tot 1.045762 | hm 0.327749 | wh 0.678320 | reg 0.197289 | ltrb_amodal 0.528674 | tracking 0.400024 | time 6.650000 | 
2023-10-19-22-22: epoch: 13 |tot 1.042326 | hm 0.324104 | wh 0.677436 | reg 0.196255 | ltrb_amodal 0.525948 | tracking 0.401628 | time 6.650000 | 
2023-10-19-22-28: epoch: 14 |tot 1.028997 | hm 0.317808 | wh 0.665091 | reg 0.195616 | ltrb_amodal 0.518997 | tracking 0.397164 | time 6.633333 | 
2023-10-19-22-35: epoch: 15 |tot 1.025356 | hm 0.314206 | wh 0.668735 | reg 0.195134 | ltrb_amodal 0.519658 | tracking 0.397176 | time 6.650000 | 
2023-10-19-22-42: epoch: 16 |tot 1.015906 | hm 0.309009 | wh 0.656978 | reg 0.194466 | ltrb_amodal 0.511472 | tracking 0.395586 | time 6.633333 | 
2023-10-19-22-48: epoch: 17 |tot 1.008716 | hm 0.304745 | wh 0.653031 | reg 0.193720 | ltrb_amodal 0.508320 | tracking 0.394116 | time 6.633333 | 
2023-10-19-22-55: epoch: 18 |tot 1.004339 | hm 0.301438 | wh 0.658207 | reg 0.193391 | ltrb_amodal 0.509120 | tracking 0.392777 | time 6.633333 | 
2023-10-19-23-02: epoch: 19 |tot 1.001778 | hm 0.299316 | wh 0.646341 | reg 0.192825 | ltrb_amodal 0.504401 | tracking 0.394563 | time 6.650000 | 
2023-10-19-23-08: epoch: 20 |tot 0.991229 | hm 0.293609 | wh 0.638260 | reg 0.191909 | ltrb_amodal 0.496934 | tracking 0.392191 | time 6.650000 | 
2023-10-19-23-15: epoch: 21 |tot 0.989197 | hm 0.291089 | wh 0.635799 | reg 0.192066 | ltrb_amodal 0.496633 | tracking 0.392799 | time 6.650000 | 
2023-10-19-23-22: epoch: 22 |tot 0.982653 | hm 0.287859 | wh 0.631330 | reg 0.191111 | ltrb_amodal 0.493924 | tracking 0.391157 | time 6.633333 | 
2023-10-19-23-28: epoch: 23 |tot 0.972194 | hm 0.282102 | wh 0.625568 | reg 0.190098 | ltrb_amodal 0.486890 | tracking 0.388749 | time 6.633333 | 
2023-10-19-23-35: epoch: 24 |tot 0.971598 | hm 0.280833 | wh 0.634079 | reg 0.189867 | ltrb_amodal 0.489722 | tracking 0.388518 | time 6.650000 | 
2023-10-19-23-42: epoch: 25 |tot 0.971436 | hm 0.278572 | wh 0.628342 | reg 0.189910 | ltrb_amodal 0.491277 | tracking 0.390992 | time 6.650000 | 
2023-10-19-23-48: epoch: 26 |tot 0.963207 | hm 0.273323 | wh 0.621152 | reg 0.188773 | ltrb_amodal 0.483927 | tracking 0.390603 | time 6.650000 | 
2023-10-19-23-55: epoch: 27 |tot 0.962273 | hm 0.271871 | wh 0.622941 | reg 0.188612 | ltrb_amodal 0.483323 | tracking 0.391162 | time 6.633333 | 
2023-10-20-00-02: epoch: 28 |tot 0.955346 | hm 0.267709 | wh 0.624772 | reg 0.188112 | ltrb_amodal 0.482790 | tracking 0.388769 | time 6.633333 | 
2023-10-20-00-08: epoch: 29 |tot 0.949964 | hm 0.266515 | wh 0.612738 | reg 0.187273 | ltrb_amodal 0.477602 | tracking 0.387142 | time 6.650000 | 
2023-10-20-00-15: epoch: 30 |tot 0.945153 | hm 0.262726 | wh 0.608286 | reg 0.186896 | ltrb_amodal 0.474867 | tracking 0.387216 | time 6.633333 | 
