2023-09-25-18-42: epoch: 1 |tot 1.120543 | hm 0.447207 | wh 0.745365 | reg 0.182200 | ltrb_amodal 0.595875 | tracking 0.357013 | time 15.950000 | 
2023-09-25-18-58: epoch: 2 |tot 1.028442 | hm 0.385586 | wh 0.668467 | reg 0.176065 | ltrb_amodal 0.540448 | tracking 0.345899 | time 15.766667 | 
2023-09-25-19-14: epoch: 3 |tot 0.994441 | hm 0.361134 | wh 0.638436 | reg 0.173178 | ltrb_amodal 0.509146 | tracking 0.345371 | time 15.866667 | 
2023-09-25-19-29: epoch: 4 |tot 0.965619 | hm 0.343496 | wh 0.623541 | reg 0.170492 | ltrb_amodal 0.494093 | tracking 0.339868 | time 15.816667 | 
2023-09-25-19-45: epoch: 5 |tot 0.946697 | hm 0.328844 | wh 0.607305 | reg 0.168963 | ltrb_amodal 0.477697 | tracking 0.340390 | time 15.833333 | 
2023-09-25-20-01: epoch: 6 |tot 0.932654 | hm 0.320515 | wh 0.598922 | reg 0.167282 | ltrb_amodal 0.469943 | tracking 0.337971 | time 15.816667 | 
2023-09-25-20-17: epoch: 7 |tot 0.913412 | hm 0.308837 | wh 0.583684 | reg 0.165734 | ltrb_amodal 0.455203 | tracking 0.334953 | time 15.850000 | 
2023-09-25-20-33: epoch: 8 |tot 0.901911 | hm 0.301187 | wh 0.577470 | reg 0.164027 | ltrb_amodal 0.446875 | tracking 0.334263 | time 15.833333 | 
2023-09-25-20-49: epoch: 9 |tot 0.891060 | hm 0.295404 | wh 0.566973 | reg 0.162726 | ltrb_amodal 0.439746 | tracking 0.332258 | time 15.800000 | 
2023-09-25-21-04: epoch: 10 |tot 0.878584 | hm 0.286862 | wh 0.560146 | reg 0.161222 | ltrb_amodal 0.433729 | tracking 0.331113 | time 15.766667 | 
2023-09-25-21-20: epoch: 11 |tot 0.872628 | hm 0.283190 | wh 0.558534 | reg 0.160500 | ltrb_amodal 0.431934 | tracking 0.329891 | time 15.800000 | 
2023-09-25-21-36: epoch: 12 |tot 0.861734 | hm 0.276813 | wh 0.549400 | reg 0.159275 | ltrb_amodal 0.424547 | tracking 0.328252 | time 15.766667 | 
2023-09-25-21-52: epoch: 13 |tot 0.852266 | hm 0.270419 | wh 0.546406 | reg 0.158130 | ltrb_amodal 0.419405 | tracking 0.327136 | time 15.816667 | 
2023-09-25-22-08: epoch: 14 |tot 0.845421 | hm 0.266729 | wh 0.539589 | reg 0.157174 | ltrb_amodal 0.414802 | tracking 0.326079 | time 15.816667 | 
2023-09-25-22-24: epoch: 15 |tot 0.839191 | hm 0.262830 | wh 0.531298 | reg 0.156219 | ltrb_amodal 0.410827 | tracking 0.325929 | time 15.816667 | 
2023-09-25-22-39: epoch: 16 |tot 0.833589 | hm 0.258413 | wh 0.531536 | reg 0.155800 | ltrb_amodal 0.408518 | tracking 0.325371 | time 15.766667 | 
2023-09-25-22-55: epoch: 17 |tot 0.823799 | hm 0.253955 | wh 0.522882 | reg 0.154409 | ltrb_amodal 0.401326 | tracking 0.323014 | time 15.950000 | 
2023-09-25-23-11: epoch: 18 |tot 0.817215 | hm 0.250847 | wh 0.520044 | reg 0.153272 | ltrb_amodal 0.397433 | tracking 0.321348 | time 15.800000 | 
2023-09-25-23-27: epoch: 19 |tot 0.811231 | hm 0.246516 | wh 0.513616 | reg 0.152627 | ltrb_amodal 0.393573 | tracking 0.321369 | time 15.833333 | 
2023-09-25-23-43: epoch: 20 |tot 0.806092 | hm 0.243964 | wh 0.511600 | reg 0.151861 | ltrb_amodal 0.392714 | tracking 0.319835 | time 15.783333 | 
2023-09-25-23-59: epoch: 21 |tot 0.799973 | hm 0.239868 | wh 0.505788 | reg 0.151064 | ltrb_amodal 0.387137 | tracking 0.319749 | time 15.783333 | 
2023-09-26-00-14: epoch: 22 |tot 0.800520 | hm 0.238977 | wh 0.506559 | reg 0.151042 | ltrb_amodal 0.390706 | tracking 0.320774 | time 15.816667 | 
2023-09-26-00-30: epoch: 23 |tot 0.798170 | hm 0.237085 | wh 0.502042 | reg 0.150453 | ltrb_amodal 0.387367 | tracking 0.321692 | time 15.816667 | 
2023-09-26-00-46: epoch: 24 |tot 0.788013 | hm 0.232834 | wh 0.495929 | reg 0.149059 | ltrb_amodal 0.380793 | tracking 0.318448 | time 15.833333 | 
2023-09-26-01-02: epoch: 25 |tot 0.784092 | hm 0.230189 | wh 0.492813 | reg 0.148603 | ltrb_amodal 0.379011 | tracking 0.318117 | time 15.783333 | 
2023-09-26-01-18: epoch: 26 |tot 0.782068 | hm 0.227592 | wh 0.493419 | reg 0.148088 | ltrb_amodal 0.379265 | tracking 0.319119 | time 15.800000 | 
2023-09-26-01-34: epoch: 27 |tot 0.776222 | hm 0.224387 | wh 0.487883 | reg 0.147612 | ltrb_amodal 0.374964 | tracking 0.317938 | time 15.816667 | 
2023-09-26-01-49: epoch: 28 |tot 0.775430 | hm 0.223857 | wh 0.486496 | reg 0.147195 | ltrb_amodal 0.372517 | tracking 0.318476 | time 15.800000 | 
2023-09-26-02-05: epoch: 29 |tot 0.768211 | hm 0.221029 | wh 0.481571 | reg 0.146215 | ltrb_amodal 0.368414 | tracking 0.315968 | time 15.800000 | 
2023-09-26-02-21: epoch: 30 |tot 0.762733 | hm 0.219048 | wh 0.477669 | reg 0.145338 | ltrb_amodal 0.367857 | tracking 0.313795 | time 15.866667 | 
