2023-10-27-19-03: epoch: 1 |loss 10.049033 | hm_loss 1.413865 | wh_loss 1.432041 | off_loss 0.233499 | id_loss 4.278593 | time 13.566667 | 
2023-10-27-19-17: epoch: 2 |loss 5.126521 | hm_loss 0.986342 | wh_loss 1.014191 | off_loss 0.220018 | id_loss 2.060164 | time 13.433333 | 
2023-10-27-19-30: epoch: 3 |loss 3.212380 | hm_loss 0.758947 | wh_loss 0.913838 | off_loss 0.215446 | id_loss 1.285707 | time 13.450000 | 
2023-10-27-19-44: epoch: 4 |loss 2.227026 | hm_loss 0.631711 | wh_loss 0.831806 | off_loss 0.211091 | id_loss 0.912777 | time 13.466667 | 
2023-10-27-19-57: epoch: 5 |loss 1.672257 | hm_loss 0.575323 | wh_loss 0.778989 | off_loss 0.208503 | id_loss 0.681272 | time 13.416667 | 
2023-10-27-20-10: epoch: 6 |loss 1.294254 | hm_loss 0.536671 | wh_loss 0.740670 | off_loss 0.206043 | id_loss 0.531178 | time 13.450000 | 
2023-10-27-20-24: epoch: 7 |loss 1.025363 | hm_loss 0.512160 | wh_loss 0.712572 | off_loss 0.203968 | id_loss 0.426489 | time 13.433333 | 
2023-10-27-20-37: epoch: 8 |loss 0.810738 | hm_loss 0.490775 | wh_loss 0.690363 | off_loss 0.201397 | id_loss 0.351262 | time 13.433333 | 
2023-10-27-20-51: epoch: 9 |loss 0.632546 | hm_loss 0.472161 | wh_loss 0.674334 | off_loss 0.199972 | id_loss 0.292981 | time 13.466667 | 
2023-10-27-21-04: epoch: 10 |loss 0.477504 | hm_loss 0.457380 | wh_loss 0.654529 | off_loss 0.199295 | id_loss 0.245364 | time 13.433333 | 
2023-10-27-21-18: epoch: 11 |loss 0.350553 | hm_loss 0.445613 | wh_loss 0.644033 | off_loss 0.198037 | id_loss 0.214116 | time 13.450000 | 
2023-10-27-21-31: epoch: 12 |loss 0.229105 | hm_loss 0.434245 | wh_loss 0.632505 | off_loss 0.197560 | id_loss 0.184131 | time 13.433333 | 
2023-10-27-21-45: epoch: 13 |loss 0.127379 | hm_loss 0.426567 | wh_loss 0.625560 | off_loss 0.196520 | id_loss 0.162136 | time 13.533333 | 
2023-10-27-21-58: epoch: 14 |loss 0.029764 | hm_loss 0.418067 | wh_loss 0.614754 | off_loss 0.195271 | id_loss 0.142308 | time 13.433333 | 
2023-10-27-22-12: epoch: 15 |loss -0.055013 | hm_loss 0.410678 | wh_loss 0.614081 | off_loss 0.194594 | id_loss 0.126326 | time 13.450000 | 
2023-10-27-22-25: epoch: 16 |loss -0.124667 | hm_loss 0.406095 | wh_loss 0.610781 | off_loss 0.194123 | id_loss 0.115131 | time 13.450000 | 
2023-10-27-22-39: epoch: 17 |loss -0.185242 | hm_loss 0.402895 | wh_loss 0.603453 | off_loss 0.193805 | id_loss 0.106317 | time 13.416667 | 
2023-10-27-22-52: epoch: 18 |loss -0.253126 | hm_loss 0.396084 | wh_loss 0.599932 | off_loss 0.193754 | id_loss 0.094951 | time 13.450000 | 
2023-10-27-23-05: epoch: 19 |loss -0.300695 | hm_loss 0.395065 | wh_loss 0.595054 | off_loss 0.193039 | id_loss 0.089050 | time 13.416667 | 
2023-10-27-23-19: epoch: 20 |loss -0.342983 | hm_loss 0.393708 | wh_loss 0.598607 | off_loss 0.192539 | id_loss 0.084005 | time 13.450000 | 
2023-10-27-23-32: epoch: 21 |loss -0.438197 | hm_loss 0.381074 | wh_loss 0.577816 | off_loss 0.191461 | id_loss 0.061721 | time 13.416667 | 
2023-10-27-23-46: epoch: 22 |loss -0.463391 | hm_loss 0.375721 | wh_loss 0.573392 | off_loss 0.189952 | id_loss 0.056644 | time 13.433333 | 
2023-10-27-23-59: epoch: 23 |loss -0.477600 | hm_loss 0.372818 | wh_loss 0.570585 | off_loss 0.190329 | id_loss 0.053858 | time 13.416667 | 
2023-10-28-00-13: epoch: 24 |loss -0.484467 | hm_loss 0.371884 | wh_loss 0.572570 | off_loss 0.190223 | id_loss 0.052888 | time 13.483333 | 
2023-10-28-00-26: epoch: 25 |loss -0.487897 | hm_loss 0.370189 | wh_loss 0.568979 | off_loss 0.189935 | id_loss 0.053441 | time 13.433333 | 
2023-10-28-00-40: epoch: 26 |loss -0.496096 | hm_loss 0.370171 | wh_loss 0.570588 | off_loss 0.190151 | id_loss 0.051688 | time 13.433333 | 
2023-10-28-00-53: epoch: 27 |loss -0.510874 | hm_loss 0.366589 | wh_loss 0.566822 | off_loss 0.189445 | id_loss 0.049287 | time 13.450000 | 
2023-10-28-01-07: epoch: 28 |loss -0.510403 | hm_loss 0.367371 | wh_loss 0.564183 | off_loss 0.189299 | id_loss 0.050277 | time 13.433333 | 
2023-10-28-01-20: epoch: 29 |loss -0.514381 | hm_loss 0.366199 | wh_loss 0.567547 | off_loss 0.189594 | id_loss 0.050105 | time 13.500000 | 
2023-10-28-01-34: epoch: 30 |loss -0.522936 | hm_loss 0.365245 | wh_loss 0.565002 | off_loss 0.189372 | id_loss 0.048760 | time 13.433333 | 
