2023-10-30-21-54: epoch: 1 |loss 11.023751 | hm_loss 0.749443 | wh_loss 0.606722 | off_loss 0.214648 | id_loss 6.574203 | time 6.300000 | 
2023-10-30-22-00: epoch: 2 |loss 7.935459 | hm_loss 0.568214 | wh_loss 0.479761 | off_loss 0.208120 | id_loss 5.017429 | time 6.150000 | 
2023-10-30-22-07: epoch: 3 |loss 6.148263 | hm_loss 0.523952 | wh_loss 0.466209 | off_loss 0.206335 | id_loss 3.950198 | time 6.200000 | 
2023-10-30-22-13: epoch: 4 |loss 4.877882 | hm_loss 0.497178 | wh_loss 0.455635 | off_loss 0.204903 | id_loss 3.162281 | time 6.116667 | 
2023-10-30-22-19: epoch: 5 |loss 3.921344 | hm_loss 0.475230 | wh_loss 0.447251 | off_loss 0.203731 | id_loss 2.558373 | time 6.116667 | 
2023-10-30-22-25: epoch: 6 |loss 3.188555 | hm_loss 0.459234 | wh_loss 0.441110 | off_loss 0.202788 | id_loss 2.084294 | time 6.116667 | 
2023-10-30-22-31: epoch: 7 |loss 2.616453 | hm_loss 0.446050 | wh_loss 0.439124 | off_loss 0.202164 | id_loss 1.708492 | time 6.116667 | 
2023-10-30-22-37: epoch: 8 |loss 2.171352 | hm_loss 0.432696 | wh_loss 0.433829 | off_loss 0.201368 | id_loss 1.421198 | time 6.116667 | 
2023-10-30-22-43: epoch: 9 |loss 1.816193 | hm_loss 0.422028 | wh_loss 0.428631 | off_loss 0.200576 | id_loss 1.190348 | time 6.116667 | 
2023-10-30-22-50: epoch: 10 |loss 1.543504 | hm_loss 0.412979 | wh_loss 0.427053 | off_loss 0.199646 | id_loss 1.015996 | time 6.133333 | 
2023-10-30-22-56: epoch: 11 |loss 1.317613 | hm_loss 0.404144 | wh_loss 0.422681 | off_loss 0.199189 | id_loss 0.873681 | time 6.116667 | 
2023-10-30-23-02: epoch: 12 |loss 1.133592 | hm_loss 0.395682 | wh_loss 0.418384 | off_loss 0.198462 | id_loss 0.761617 | time 6.116667 | 
2023-10-30-23-08: epoch: 13 |loss 0.982618 | hm_loss 0.388586 | wh_loss 0.416835 | off_loss 0.197720 | id_loss 0.670648 | time 6.116667 | 
2023-10-30-23-14: epoch: 14 |loss 0.850362 | hm_loss 0.381338 | wh_loss 0.411909 | off_loss 0.197352 | id_loss 0.592630 | time 6.116667 | 
2023-10-30-23-20: epoch: 15 |loss 0.743901 | hm_loss 0.375036 | wh_loss 0.411583 | off_loss 0.196646 | id_loss 0.532478 | time 6.116667 | 
2023-10-30-23-26: epoch: 16 |loss 0.654759 | hm_loss 0.369284 | wh_loss 0.411585 | off_loss 0.196499 | id_loss 0.483335 | time 6.116667 | 
2023-10-30-23-33: epoch: 17 |loss 0.567242 | hm_loss 0.363115 | wh_loss 0.407830 | off_loss 0.195589 | id_loss 0.436374 | time 6.116667 | 
2023-10-30-23-39: epoch: 18 |loss 0.489194 | hm_loss 0.357290 | wh_loss 0.404979 | off_loss 0.195087 | id_loss 0.394817 | time 6.116667 | 
2023-10-30-23-45: epoch: 19 |loss 0.432062 | hm_loss 0.353313 | wh_loss 0.405924 | off_loss 0.194714 | id_loss 0.367094 | time 6.116667 | 
2023-10-30-23-51: epoch: 20 |loss 0.374118 | hm_loss 0.349005 | wh_loss 0.403686 | off_loss 0.194459 | id_loss 0.338947 | time 6.133333 | 
2023-10-30-23-57: epoch: 21 |loss 0.320102 | hm_loss 0.342835 | wh_loss 0.397557 | off_loss 0.193274 | id_loss 0.312091 | time 6.116667 | 
2023-10-31-00-03: epoch: 22 |loss 0.312261 | hm_loss 0.341717 | wh_loss 0.396995 | off_loss 0.193627 | id_loss 0.308089 | time 6.116667 | 
2023-10-31-00-09: epoch: 23 |loss 0.303222 | hm_loss 0.340410 | wh_loss 0.395952 | off_loss 0.193342 | id_loss 0.304458 | time 6.116667 | 
2023-10-31-00-16: epoch: 24 |loss 0.293731 | hm_loss 0.339932 | wh_loss 0.395437 | off_loss 0.193472 | id_loss 0.298576 | time 6.116667 | 
2023-10-31-00-22: epoch: 25 |loss 0.294974 | hm_loss 0.340430 | wh_loss 0.396180 | off_loss 0.193121 | id_loss 0.301182 | time 6.133333 | 
2023-10-31-00-28: epoch: 26 |loss 0.287080 | hm_loss 0.338991 | wh_loss 0.397217 | off_loss 0.193200 | id_loss 0.298081 | time 6.116667 | 
2023-10-31-00-34: epoch: 27 |loss 0.279230 | hm_loss 0.339318 | wh_loss 0.395303 | off_loss 0.192926 | id_loss 0.293422 | time 6.150000 | 
2023-10-31-00-40: epoch: 28 |loss 0.274840 | hm_loss 0.338580 | wh_loss 0.396401 | off_loss 0.193083 | id_loss 0.292271 | time 6.133333 | 
2023-10-31-00-46: epoch: 29 |loss 0.263316 | hm_loss 0.336702 | wh_loss 0.395484 | off_loss 0.192937 | id_loss 0.287393 | time 6.133333 | 
2023-10-31-00-53: epoch: 30 |loss 0.261881 | hm_loss 0.337581 | wh_loss 0.397380 | off_loss 0.193120 | id_loss 0.286317 | time 6.133333 | 
