2023-10-30-22-19: epoch: 1 |loss 19.458085 | hm_loss 0.595429 | wh_loss 0.475667 | off_loss 0.193820 | id_loss 13.364506 | time 14.433333 | 
2023-10-30-22-33: epoch: 2 |loss 17.244435 | hm_loss 0.469763 | wh_loss 0.413841 | off_loss 0.185398 | id_loss 13.186400 | time 14.316667 | 
2023-10-30-22-48: epoch: 3 |loss 15.548103 | hm_loss 0.422526 | wh_loss 0.391913 | off_loss 0.180917 | id_loss 13.025819 | time 14.316667 | 
2023-10-30-23-02: epoch: 4 |loss 14.110383 | hm_loss 0.392881 | wh_loss 0.377191 | off_loss 0.177386 | id_loss 12.891179 | time 14.316667 | 
2023-10-30-23-16: epoch: 5 |loss 12.817005 | hm_loss 0.372397 | wh_loss 0.368208 | off_loss 0.174711 | id_loss 12.731812 | time 14.333333 | 
2023-10-30-23-31: epoch: 6 |loss 11.629124 | hm_loss 0.355794 | wh_loss 0.358407 | off_loss 0.172543 | id_loss 12.538680 | time 14.316667 | 
2023-10-30-23-45: epoch: 7 |loss 10.551453 | hm_loss 0.342847 | wh_loss 0.353465 | off_loss 0.170341 | id_loss 12.328816 | time 14.316667 | 
2023-10-31-00-00: epoch: 8 |loss 9.576665 | hm_loss 0.331216 | wh_loss 0.347347 | off_loss 0.168783 | id_loss 12.112329 | time 14.316667 | 
2023-10-31-00-14: epoch: 9 |loss 8.702087 | hm_loss 0.321670 | wh_loss 0.343770 | off_loss 0.167581 | id_loss 11.897617 | time 14.316667 | 
2023-10-31-00-28: epoch: 10 |loss 7.914913 | hm_loss 0.314193 | wh_loss 0.338774 | off_loss 0.165810 | id_loss 11.684124 | time 14.316667 | 
2023-10-31-00-43: epoch: 11 |loss 7.205713 | hm_loss 0.305959 | wh_loss 0.338165 | off_loss 0.165213 | id_loss 11.471226 | time 14.316667 | 
2023-10-31-00-58: epoch: 12 |loss 6.565187 | hm_loss 0.298450 | wh_loss 0.333457 | off_loss 0.163418 | id_loss 11.259567 | time 14.316667 | 
2023-10-31-01-12: epoch: 13 |loss 5.992661 | hm_loss 0.292649 | wh_loss 0.332130 | off_loss 0.162722 | id_loss 11.049306 | time 14.266667 | 
2023-10-31-01-26: epoch: 14 |loss 5.476531 | hm_loss 0.286648 | wh_loss 0.329649 | off_loss 0.161601 | id_loss 10.840515 | time 14.266667 | 
2023-10-31-01-41: epoch: 15 |loss 5.014347 | hm_loss 0.281048 | wh_loss 0.326629 | off_loss 0.160775 | id_loss 10.635611 | time 14.266667 | 
2023-10-31-01-55: epoch: 16 |loss 4.599600 | hm_loss 0.276261 | wh_loss 0.325307 | off_loss 0.159486 | id_loss 10.432335 | time 14.266667 | 
2023-10-31-02-09: epoch: 17 |loss 4.229396 | hm_loss 0.272565 | wh_loss 0.322496 | off_loss 0.158453 | id_loss 10.233747 | time 14.266667 | 
2023-10-31-02-24: epoch: 18 |loss 3.894969 | hm_loss 0.267133 | wh_loss 0.320197 | off_loss 0.157414 | id_loss 10.037467 | time 14.266667 | 
2023-10-31-02-38: epoch: 19 |loss 3.595990 | hm_loss 0.262666 | wh_loss 0.319832 | off_loss 0.156669 | id_loss 9.843926 | time 14.266667 | 
2023-10-31-02-52: epoch: 20 |loss 3.329939 | hm_loss 0.259372 | wh_loss 0.318380 | off_loss 0.155877 | id_loss 9.657682 | time 14.283333 | 
2023-10-31-03-07: epoch: 21 |loss 3.134006 | hm_loss 0.252504 | wh_loss 0.311935 | off_loss 0.154168 | id_loss 9.379443 | time 14.283333 | 
2023-10-31-03-21: epoch: 22 |loss 3.107207 | hm_loss 0.249795 | wh_loss 0.313655 | off_loss 0.154412 | id_loss 9.359446 | time 14.283333 | 
2023-10-31-03-35: epoch: 23 |loss 3.080766 | hm_loss 0.249685 | wh_loss 0.310515 | off_loss 0.153507 | id_loss 9.338712 | time 14.283333 | 
2023-10-31-03-50: epoch: 24 |loss 3.055000 | hm_loss 0.248363 | wh_loss 0.311869 | off_loss 0.153467 | id_loss 9.320141 | time 14.283333 | 
