2023-09-26-23-46: epoch: 1 |loss 9.995878 | hm_loss 1.435770 | wh_loss 1.585126 | off_loss 0.235093 | id_loss 4.148152 | time 17.050000 | 
2023-09-27-00-02: epoch: 2 |loss 4.808914 | hm_loss 0.931427 | wh_loss 1.094235 | off_loss 0.222262 | id_loss 1.906191 | time 16.900000 | 
2023-09-27-00-19: epoch: 3 |loss 2.828171 | hm_loss 0.677684 | wh_loss 0.954187 | off_loss 0.216328 | id_loss 1.131148 | time 16.900000 | 
2023-09-27-00-36: epoch: 4 |loss 1.947153 | hm_loss 0.583953 | wh_loss 0.866789 | off_loss 0.212202 | id_loss 0.758789 | time 16.900000 | 
2023-09-27-00-53: epoch: 5 |loss 1.451640 | hm_loss 0.538507 | wh_loss 0.813278 | off_loss 0.209505 | id_loss 0.548618 | time 16.916667 | 
2023-09-27-01-10: epoch: 6 |loss 1.098965 | hm_loss 0.502165 | wh_loss 0.775343 | off_loss 0.207047 | id_loss 0.413517 | time 16.883333 | 
2023-09-27-01-27: epoch: 7 |loss 0.854467 | hm_loss 0.480050 | wh_loss 0.741956 | off_loss 0.205294 | id_loss 0.326518 | time 16.883333 | 
2023-09-27-01-44: epoch: 8 |loss 0.644114 | hm_loss 0.456356 | wh_loss 0.720402 | off_loss 0.203610 | id_loss 0.261552 | time 16.866667 | 
2023-09-27-02-01: epoch: 9 |loss 0.474836 | hm_loss 0.439030 | wh_loss 0.700537 | off_loss 0.202595 | id_loss 0.215245 | time 16.883333 | 
2023-09-27-02-18: epoch: 10 |loss 0.325016 | hm_loss 0.425039 | wh_loss 0.680812 | off_loss 0.200685 | id_loss 0.179520 | time 16.883333 | 
2023-09-27-02-35: epoch: 11 |loss 0.192576 | hm_loss 0.411327 | wh_loss 0.669211 | off_loss 0.200020 | id_loss 0.151939 | time 16.883333 | 
2023-09-27-02-52: epoch: 12 |loss 0.076652 | hm_loss 0.400268 | wh_loss 0.659627 | off_loss 0.199165 | id_loss 0.130462 | time 16.883333 | 
2023-09-27-03-08: epoch: 13 |loss -0.016566 | hm_loss 0.392302 | wh_loss 0.645322 | off_loss 0.197928 | id_loss 0.118014 | time 16.866667 | 
2023-09-27-03-25: epoch: 14 |loss -0.111434 | hm_loss 0.384670 | wh_loss 0.637335 | off_loss 0.197108 | id_loss 0.101757 | time 16.866667 | 
2023-09-27-03-42: epoch: 15 |loss -0.191111 | hm_loss 0.375590 | wh_loss 0.636690 | off_loss 0.197206 | id_loss 0.091654 | time 16.883333 | 
2023-09-27-03-59: epoch: 16 |loss -0.257371 | hm_loss 0.370597 | wh_loss 0.628626 | off_loss 0.196548 | id_loss 0.084595 | time 16.850000 | 
2023-09-27-04-16: epoch: 17 |loss -0.324916 | hm_loss 0.366892 | wh_loss 0.622534 | off_loss 0.195394 | id_loss 0.075416 | time 16.850000 | 
2023-09-27-04-33: epoch: 18 |loss -0.380176 | hm_loss 0.360301 | wh_loss 0.617916 | off_loss 0.195553 | id_loss 0.070776 | time 16.850000 | 
2023-09-27-04-50: epoch: 19 |loss -0.428477 | hm_loss 0.360735 | wh_loss 0.611540 | off_loss 0.195154 | id_loss 0.065411 | time 16.866667 | 
2023-09-27-05-07: epoch: 20 |loss -0.474652 | hm_loss 0.355661 | wh_loss 0.616437 | off_loss 0.194613 | id_loss 0.061666 | time 16.850000 | 
2023-09-27-05-23: epoch: 21 |loss -0.558751 | hm_loss 0.343399 | wh_loss 0.596742 | off_loss 0.193109 | id_loss 0.045727 | time 16.866667 | 
2023-09-27-05-40: epoch: 22 |loss -0.583456 | hm_loss 0.338333 | wh_loss 0.588941 | off_loss 0.191778 | id_loss 0.041426 | time 16.850000 | 
2023-09-27-05-57: epoch: 23 |loss -0.596767 | hm_loss 0.335892 | wh_loss 0.586861 | off_loss 0.191417 | id_loss 0.039334 | time 16.850000 | 
2023-09-27-06-14: epoch: 24 |loss -0.607720 | hm_loss 0.333911 | wh_loss 0.585658 | off_loss 0.191407 | id_loss 0.037689 | time 16.850000 | 
2023-09-27-06-31: epoch: 25 |loss -0.609373 | hm_loss 0.333717 | wh_loss 0.583826 | off_loss 0.191326 | id_loss 0.038261 | time 16.866667 | 
2023-09-27-06-48: epoch: 26 |loss -0.615712 | hm_loss 0.333428 | wh_loss 0.587426 | off_loss 0.191569 | id_loss 0.037291 | time 16.883333 | 
2023-09-27-07-05: epoch: 27 |loss -0.627540 | hm_loss 0.329382 | wh_loss 0.581715 | off_loss 0.190720 | id_loss 0.036274 | time 16.850000 | 
2023-09-27-07-22: epoch: 28 |loss -0.629958 | hm_loss 0.330061 | wh_loss 0.578257 | off_loss 0.191434 | id_loss 0.036217 | time 16.866667 | 
2023-09-27-07-39: epoch: 29 |loss -0.634251 | hm_loss 0.328514 | wh_loss 0.582640 | off_loss 0.190993 | id_loss 0.036287 | time 16.850000 | 
2023-09-27-07-55: epoch: 30 |loss -0.640639 | hm_loss 0.328462 | wh_loss 0.579025 | off_loss 0.190994 | id_loss 0.035497 | time 16.833333 | 
