2023-09-27-17-20: epoch: 1 |tot 0.830802 | hm 0.427525 | wh 0.913094 | reg 0.183698 | ltrb_amodal 0.682217 | cost_volume 0.120097 | time 38.700000 | 
2023-09-27-17-57: epoch: 2 |tot 0.753420 | hm 0.381680 | wh 0.805085 | reg 0.179039 | ltrb_amodal 0.613825 | cost_volume 0.101618 | time 37.516667 | 
2023-09-27-18-35: epoch: 3 |tot 0.710991 | hm 0.356093 | wh 0.758003 | reg 0.175738 | ltrb_amodal 0.573672 | cost_volume 0.091985 | time 37.616667 | 
2023-09-27-19-13: epoch: 4 |tot 0.679387 | hm 0.336960 | wh 0.718999 | reg 0.173465 | ltrb_amodal 0.542337 | cost_volume 0.085657 | time 38.283333 | 
2023-09-27-19-52: epoch: 5 |tot 0.655630 | hm 0.322812 | wh 0.691526 | reg 0.171263 | ltrb_amodal 0.519168 | cost_volume 0.080969 | time 38.383333 | 
2023-09-27-20-30: epoch: 6 |tot 0.644095 | hm 0.314706 | wh 0.681234 | reg 0.170005 | ltrb_amodal 0.511330 | cost_volume 0.080256 | time 38.083333 | 
2023-09-27-21-08: epoch: 7 |tot 0.627323 | hm 0.304288 | wh 0.665757 | reg 0.168006 | ltrb_amodal 0.497456 | cost_volume 0.077414 | time 38.016667 | 
2023-09-27-21-46: epoch: 8 |tot 0.610403 | hm 0.295087 | wh 0.643328 | reg 0.166175 | ltrb_amodal 0.479059 | cost_volume 0.073803 | time 38.183333 | 
2023-09-27-22-24: epoch: 9 |tot 0.600827 | hm 0.288806 | wh 0.631827 | reg 0.165413 | ltrb_amodal 0.473240 | cost_volume 0.072202 | time 38.300000 | 
2023-09-27-23-02: epoch: 10 |tot 0.589437 | hm 0.281877 | wh 0.616786 | reg 0.164165 | ltrb_amodal 0.458927 | cost_volume 0.071647 | time 38.183333 | 
2023-09-27-23-40: epoch: 11 |tot 0.582369 | hm 0.277006 | wh 0.611387 | reg 0.163257 | ltrb_amodal 0.459588 | cost_volume 0.070018 | time 37.783333 | 
2023-09-28-00-18: epoch: 12 |tot 0.572074 | hm 0.270873 | wh 0.600663 | reg 0.162374 | ltrb_amodal 0.448345 | cost_volume 0.067853 | time 38.083333 | 
2023-09-28-00-57: epoch: 13 |tot 0.563598 | hm 0.265654 | wh 0.590853 | reg 0.161219 | ltrb_amodal 0.442480 | cost_volume 0.066782 | time 38.483333 | 
2023-09-28-01-35: epoch: 14 |tot 0.557249 | hm 0.261815 | wh 0.583816 | reg 0.160529 | ltrb_amodal 0.436728 | cost_volume 0.065703 | time 38.400000 | 
2023-09-28-02-14: epoch: 15 |tot 0.546581 | hm 0.255733 | wh 0.572012 | reg 0.159308 | ltrb_amodal 0.427820 | cost_volume 0.063114 | time 38.300000 | 
2023-09-28-02-52: epoch: 16 |tot 0.541062 | hm 0.252354 | wh 0.568578 | reg 0.158357 | ltrb_amodal 0.422493 | cost_volume 0.062489 | time 38.250000 | 
2023-09-28-03-30: epoch: 17 |tot 0.534171 | hm 0.247536 | wh 0.563005 | reg 0.157877 | ltrb_amodal 0.419586 | cost_volume 0.061000 | time 38.050000 | 
2023-09-28-04-08: epoch: 18 |tot 0.531109 | hm 0.245300 | wh 0.558214 | reg 0.156910 | ltrb_amodal 0.417132 | cost_volume 0.062729 | time 38.216667 | 
2023-09-28-04-47: epoch: 19 |tot 0.524347 | hm 0.242219 | wh 0.549516 | reg 0.155898 | ltrb_amodal 0.410995 | cost_volume 0.060359 | time 38.600000 | 
2023-09-28-05-25: epoch: 20 |tot 0.517245 | hm 0.238139 | wh 0.541475 | reg 0.154936 | ltrb_amodal 0.403658 | cost_volume 0.059314 | time 38.316667 | 
2023-09-28-06-03: epoch: 21 |tot 0.512768 | hm 0.234330 | wh 0.538890 | reg 0.154513 | ltrb_amodal 0.402257 | cost_volume 0.059620 | time 38.183333 | 
2023-09-28-06-42: epoch: 22 |tot 0.506527 | hm 0.231923 | wh 0.531510 | reg 0.153235 | ltrb_amodal 0.395819 | cost_volume 0.057272 | time 38.466667 | 
2023-09-28-07-20: epoch: 23 |tot 0.501971 | hm 0.228902 | wh 0.526229 | reg 0.152529 | ltrb_amodal 0.392894 | cost_volume 0.057254 | time 38.100000 | 
2023-09-28-07-58: epoch: 24 |tot 0.500817 | hm 0.227804 | wh 0.527426 | reg 0.152678 | ltrb_amodal 0.394408 | cost_volume 0.056303 | time 38.100000 | 
2023-09-28-08-37: epoch: 25 |tot 0.496196 | hm 0.225183 | wh 0.520156 | reg 0.151849 | ltrb_amodal 0.388839 | cost_volume 0.056529 | time 38.383333 | 
2023-09-28-09-15: epoch: 26 |tot 0.491416 | hm 0.221705 | wh 0.516744 | reg 0.151386 | ltrb_amodal 0.387364 | cost_volume 0.055828 | time 38.133333 | 
2023-09-28-09-53: epoch: 27 |tot 0.492381 | hm 0.222941 | wh 0.515528 | reg 0.150647 | ltrb_amodal 0.387094 | cost_volume 0.057060 | time 38.350000 | 
2023-09-28-10-31: epoch: 28 |tot 0.486069 | hm 0.219196 | wh 0.510080 | reg 0.150020 | ltrb_amodal 0.382072 | cost_volume 0.055276 | time 38.216667 | 
2023-09-28-11-09: epoch: 29 |tot 0.482360 | hm 0.216687 | wh 0.504970 | reg 0.149277 | ltrb_amodal 0.380032 | cost_volume 0.055791 | time 38.066667 | 
2023-09-28-11-47: epoch: 30 |tot 0.481290 | hm 0.215878 | wh 0.508523 | reg 0.149486 | ltrb_amodal 0.380213 | cost_volume 0.054105 | time 38.100000 | 
